date,vault_name,vault_address,underlying_token,daily_apy_pct
2025-09-07,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,8.943047353301438
2025-09-08,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,9.0335665788783
2025-09-09,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,9.09357369649491
2025-09-10,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,9.987895445327814
2025-09-11,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,8.4281329121696
2025-09-12,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,8.706279693629735
2025-09-13,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,8.520456711366501
2025-09-14,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.654445298143948
2025-09-15,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.635708214521183
2025-09-16,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.6034049753979644
2025-09-17,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,8.610178421900256
2025-09-18,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,8.191759565764846
2025-09-19,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,8.911523401173348
2025-09-20,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,8.062913938066057
2025-09-21,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.661869306287397
2025-09-22,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.6604500838987875
2025-09-23,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.3595166646827614
2025-09-24,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.109010148568245
2025-09-25,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.14663745437478
2025-09-26,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,5.995574852881424
2025-09-27,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.67041711887811
2025-09-28,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.211247587950353
2025-09-29,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.043005065080209
2025-09-30,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.439238033278395
2025-10-01,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.754624423714746
2025-10-02,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.627482076931788
2025-10-03,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.997097601055214
2025-10-04,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.970249940239248
2025-10-05,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.476671460585316
2025-10-06,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.734015180986598
2025-10-07,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.120552989065443
2025-10-08,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.434107970764495
2025-10-09,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.6442790599098105
2025-10-10,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.347449097799086
2025-10-11,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.8493943635714105
2025-10-12,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,6.771757447576328
2025-10-13,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,5.823434044495473
2025-09-01,Steakhouse USDC,0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB,USDC,3.274623683676449
